MaterialName,MaterialClass,Density_kg_m3,EC_min_kgCO2e_per_kg,EC_avg_kgCO2e_per_kg,EC_max_kgCO2e_per_kg,Notes
Normal strength concrete (C30/37),Concrete,2400,0.08,0.12,0.18,In-situ reinforced concrete, typical mix
Reinforcement steel (rebar),Steel,7850,1.3,1.7,2.1,Recycled-content reinforcing bar
Structural steel (sections),Steel,7850,1.4,1.9,2.5,Hot-rolled sections
Float glass (clear),Glass,2500,0.8,1.0,1.3,Uncoated float glass
Insulation - mineral wool,Insulation,80,1.0,1.4,1.9,Rigid/mineral wool insulation boards
Aluminium extrusion,Aluminium,2700,7.0,8.5,10.0,Primary+recycled mix, curtain wall mullions
Softwood timber (structural),Timber,500,0.02,0.10,0.20,Sawn structural timber (biogenic carbon not credited here)
Clay bricks (facing),Bricks,1800,0.18,0.25,0.35,Fired clay bricks
Plasterboard (gypsum board),Plaster,800,0.25,0.35,0.45,Standard gypsum board including paper liner
Ceramic tiles,Ceramics,2200,0.6,0.8,1.0,Wall/floor tiles
Asphalt (hot mix),Asphalt,2300,0.18,0.25,0.35,Asphalt surfacing, road/roof
PVC window frame,Plastics,1400,2.0,2.7,3.5,Unplasticised PVC framing
EPDM rubber roofing,Rubber,1200,2.0,3.0,4.0,Single-ply EPDM membrane
Paint (interior emulsion),Paint,1200,2.0,3.0,4.5,Applied wet product per kg solids
Aggregates (general),Aggregates and Sand,1600,0.005,0.02,0.05,Crushed rock / sand and gravel
